"","node","functional.group"
"1",1,"Autotroph"
"2",2,"Autotroph"
"3",3,"Autotroph"
"4",4,"Predator"
"5",5,"Predator"
"6",6,"Detrivtore"
"7",7,"Predator"
"8",8,"Predator"
"9",9,"Predator"
"10",10,"Predator"
"11",11,"Predator"
"12",12,"Predator"
"13",13,"Predator"
"14",14,"Predator"
"15",15,"Predator"
"16",16,"Predator"
"17",17,"Predator"
"18",18,"Predator"
"19",19,"Predator"
"20",20,"Predator"
"21",21,"Predator"
"22",22,"Predator"
"23",23,"Predator"
"24",24,"Predator"
"25",25,"Predator"
"26",26,"Predator"
"27",27,"Predator"
"28",28,"Predator"
"29",29,"Predator"
"30",30,"Predator"
"31",31,"Predator"
"32",32,"Predator"
"33",33,"Predator"
"34",34,"Predator"
"35",35,"Predator"
"36",36,"Predator"
"37",37,"Predator"
"38",38,"Predator"
"39",39,"Predator"
"40",40,"Predator"
"41",41,"Predator"
"42",42,"Predator"
"43",43,"Predator"
"44",44,"Predator"
"45",45,"Predator"
"46",46,"Predator"
"47",47,"Predator"
"48",48,"Predator"
"49",49,"Predator"
"50",50,"Predator"
"51",51,"Predator"
"52",52,"Predator"
"53",53,"Predator"
"54",54,"Predator"
"55",55,"Predator"
"56",56,"Predator"
"57",57,"Predator"
"58",58,"Predator"
"59",59,"Predator"
"60",60,"Predator"
"61",61,"Predator"
"62",62,"Predator"
"63",63,"Predator"
"64",64,"Predator"
"65",65,"Predator"
"66",66,"Predator"
"67",67,"Predator"
"68",68,"Predator"
"69",69,"Predator"
"70",70,"Predator"
"71",71,"Predator"
"72",72,"Predator"
"73",73,"Predator"
"74",74,"Predator"
"75",75,"Predator"
"76",76,"Predator"
"77",77,"Predator"
"78",78,"Predator"
"79",79,"Predator"
"80",80,"Predator"
"81",81,"Predator"
"82",82,"Predator"
"83",83,"Predator"
"84",84,"Predator"
"85",85,"Predator"
"86",86,"Predator"
"87",87,"Predator"
"88",88,"Predator"
"89",89,"Predator"
"90",90,"Predator"
"91",91,"Predator"
"92",92,"Predator"
"93",93,"Predator"
"94",94,"Predator"
"95",95,"Predator"
"96",96,"Predator"
"97",97,"Predator"
"98",98,"Predator"
"99",99,"Predator"
"100",100,"Predator"
"101",101,"Predator"
"102",102,"Predator"
"103",103,"Predator"
"104",104,"Predator"
"105",105,"Predator"
"106",106,"Predator"
"107",107,"Predator"
"108",108,"Predator"
"109",109,"Predator"
"110",110,"Predator"
"111",111,"Predator"
"112",112,"Predator"
"113",113,"Predator"
"114",114,"Predator"
"115",115,"Predator"
"116",116,"Predator"
"117",117,"Predator"
"118",118,"Predator"
"119",119,"Predator"
"120",120,"Predator"
"121",121,"Predator"
"122",122,"Predator"
"123",123,"Predator"
"124",124,"Macroparasite"
"125",125,"Parasitic Castrator"
"126",126,"Non-feeding"
"127",127,"Trophically Transmitted Parasite"
"128",128,"Macroparasite"
"129",129,"Parasitic Castrator"
"130",130,"Non-feeding"
"131",131,"Trophically Transmitted Parasite"
"132",132,"Macroparasite"
"133",133,"Parasitic Castrator"
"134",134,"Non-feeding"
"135",135,"Trophically Transmitted Parasite"
"136",136,"Macroparasite"
"137",137,"Parasitic Castrator"
"138",138,"Non-feeding"
"139",139,"Trophically Transmitted Parasite"
"140",140,"Macroparasite"
"141",141,"Parasitic Castrator"
"142",142,"Non-feeding"
"143",143,"Trophically Transmitted Parasite"
"144",144,"Macroparasite"
"145",145,"Parasitic Castrator"
"146",146,"Non-feeding"
"147",147,"Trophically Transmitted Parasite"
"148",148,"Macroparasite"
"149",149,"Parasitic Castrator"
"150",150,"Non-feeding"
"151",151,"Trophically Transmitted Parasite"
"152",152,"Macroparasite"
"153",153,"Parasitic Castrator"
"154",154,"Non-feeding"
"155",155,"Trophically Transmitted Parasite"
"156",156,"Macroparasite"
"157",157,"Parasitic Castrator"
"158",158,"Non-feeding"
"159",159,"Trophically Transmitted Parasite"
"160",160,"Macroparasite"
"161",161,"Parasitic Castrator"
"162",162,"Non-feeding"
"163",163,"Trophically Transmitted Parasite"
"164",164,"Macroparasite"
"165",165,"Trophically Transmitted Parasite"
"166",166,"Macroparasite"
"167",167,"Trophically Transmitted Parasite"
"168",168,"Macroparasite"
"169",169,"Trophically Transmitted Parasite"
"170",170,"Macroparasite"
"171",171,"Trophically Transmitted Parasite"
"172",172,"Macroparasite"
"173",173,"Parasitic Castrator"
"174",174,"Parasitic Castrator"
"175",175,"Non-feeding"
"176",176,"Macroparasite"
"177",177,"Parasitic Castrator"
"178",178,"Non-feeding"
"179",179,"Trophically Transmitted Parasite"
"180",180,"Macroparasite"
