"","consumer","resource"
"1",4,1
"2",4,4
"3",4,6
"4",5,1
"5",5,2
"6",5,3
"7",5,4
"8",5,5
"9",5,6
"10",5,12
"11",5,13
"12",5,16
"13",5,19
"14",5,20
"15",5,21
"16",5,23
"17",5,28
"18",5,30
"19",5,31
"20",5,32
"21",5,33
"22",5,34
"23",5,35
"24",5,36
"25",5,37
"26",5,61
"27",5,71
"28",5,73
"29",5,76
"30",5,77
"31",5,82
"32",5,83
"33",5,84
"34",5,85
"35",5,86
"36",5,87
"37",5,88
"38",7,4
"39",7,5
"40",7,30
"41",7,31
"42",7,33
"43",7,34
"44",7,35
"45",7,36
"46",7,37
"47",7,38
"48",7,44
"49",7,45
"50",7,46
"51",7,47
"52",7,82
"53",7,83
"54",7,84
"55",7,85
"56",7,86
"57",7,87
"58",7,88
"59",7,89
"60",7,90
"61",7,100
"62",8,1
"63",8,2
"64",8,4
"65",8,5
"66",8,6
"67",9,5
"68",9,30
"69",9,31
"70",9,32
"71",9,33
"72",9,34
"73",9,35
"74",9,36
"75",9,37
"76",9,82
"77",9,83
"78",9,84
"79",9,85
"80",9,86
"81",9,87
"82",9,88
"83",10,5
"84",10,30
"85",10,31
"86",10,32
"87",10,33
"88",10,34
"89",10,35
"90",10,36
"91",10,37
"92",10,82
"93",10,83
"94",10,84
"95",10,85
"96",10,86
"97",10,87
"98",10,88
"99",11,2
"100",11,5
"101",11,6
"102",12,2
"103",12,6
"104",13,2
"105",13,6
"106",14,6
"107",15,2
"108",15,5
"109",15,6
"110",16,2
"111",16,6
"112",17,2
"113",17,5
"114",17,6
"115",18,2
"116",18,5
"117",18,6
"118",19,5
"119",19,12
"120",19,13
"121",19,16
"122",19,20
"123",19,21
"124",19,30
"125",19,31
"126",19,32
"127",19,33
"128",19,34
"129",19,35
"130",19,36
"131",19,37
"132",19,61
"133",19,73
"134",19,76
"135",19,77
"136",19,78
"137",19,82
"138",19,86
"139",20,2
"140",20,6
"141",21,2
"142",21,6
"143",22,1
"144",22,2
"145",22,5
"146",22,6
"147",22,19
"148",22,20
"149",22,21
"150",22,23
"151",22,30
"152",22,31
"153",22,33
"154",22,34
"155",22,35
"156",22,36
"157",22,37
"158",22,49
"159",22,50
"160",22,53
"161",22,54
"162",22,71
"163",22,73
"164",22,82
"165",22,83
"166",22,84
