node
Phytoplankton
Epipellic Flora
Macroalgae/Seagrass
Zooplankton
Meiofauna
Bacteria
Anthopleura aureoradiata
Edwardsia sp.
Enopla 1
Enopla 2
Abarenicola affinis
Capitellid 1
Capitellid 2
Heteromastus filiformis
Decamastus sp.
Paraonis sp.
Scoloplos johnstonei
Macroclymenella stewartensis
Hesionid 1
Exogone sp.1
Exogone sp.2
Perinereis nuntia
Sphaerodorum sp.
Spio sp.1
Spio sp.2
Boccardia syrtis
Boccardia acus
Malacoceros sp.
Prinospio sp.1
Colurostylis lemurum
Diastylopsis thileniusi
Tanaisus sp.
Heterophoxus stephenseni
Phoxocephalus regium
Pontharpinia australis
Amphipod 1
Paracalliope sp.
Cymodopsis montis
Ghost Shrimp
Mantis Shrimp
Stalk-eyed mud crab
Hairy-handed crab
Common rock crab
Notoacmea helmsi
Diloma subrostrata
Zeacumantus subcarinatus
Pyramidellid 1
Cominella glandiformis
Nucula dunedinensis
Perrierina turneri
Large wedge shell
New Zealand cockle
Pelecypod 1
Paphies sp.
Phoronid 1
Edwardsia leucomelos
Nemertine 1
Nemertine 2
Nemertine 3
Enopla 3
Capitellid 3
Travisia sp.
Armandia sp.
Naineris sp.
Scoloplos cylindrifer
Leitoscoloplos sp.
Glycera sp.
Macrolymenella sp.
Dorvillea incerta
Goniadid 1
Hesionid 2
Geminosyllis sp.
Exogone sp.3
Aglaophamus sp.1
Perinereis sp.2
Tharyx sp.
Prinospio sp.2
Aonides sp.1
Terebellid 1
Terebellid 2
Pectinaria sp.
Diastilid 3
Neballid 1
Lysianassid 1
Lysianassid 2
Paracorophium lucasi
Aora sp.
Oedicerotid
Exosphaeroma planulum
Pseudophaeroma campbellensis
Halicarcinus whitei
Glaucus sp.
Littorina antipodum
Neoguraleus sp. 1
Cominella sp. 1
Buccinulum pertinax
Holothuroid 1
Green-lipped mussel
Amphibola crenata
Flatfish spp.
Yellow-eye mullet
New Zealand spotty
Garfish
Snoek
Stingray sp.
Dogfish sp.
Oystercatcher 1
Oystercatcher 2
Masked Lapwing
Black-billed Gull
Silver Gull
White-fronted Heron
White-fronted Tern
Mallard Duck
Caspian Tern
Black-winged Stilt
Paradise Shelduck
Grey Duck
Royal Spoonbill
Black Swan
Bar-tailed Godwit
Pied Cormorant
Little Pied Cormorant
Maritrema novaezealandensis
Maritrema novaezealandensis_1
Maritrema novaezealandensis_2
Maritrema novaezealandensis_3
Levinseniella sp.
Levinseniella sp._1
Levinseniella sp._2
Levinseniella sp._3
Microphallus sp.
Microphallus sp._1
Microphallus sp._2
Microphallus sp._3
Galactosomum sp.
Galactosomum sp._1
Galactosomum sp._2
Galactosomum sp._3
Renicola sp.
Renicola sp._1
Renicola sp._2
Renicola sp._3
Philophthalmus sp.
Philophthalmus sp._1
Philophthalmus sp._2
Philophthalmus sp._3
Curtuteria australis
Curtuteria australis_1
Curtuteria australis_2
Curtuteria australis_3
Acanthoparyphium sp.
Acanthoparyphium sp._1
Acanthoparyphium sp._2
Acanthoparyphium sp._3
Gymnophallus sp.
Gymnophallus sp._1
Gymnophallus sp._2
Gymnophallus sp._3
Opecoelid
Opecoelid_1
Opecoelid_2
Opecoelid_3
Ascarophis sp.
Ascarophis sp._1
Acuariidae
Acuariidae_1
Profilicollis antarcticus
Profilicollis antarcticus_1
Profilicollis novaezelandensis
Profilicollis novaezelandensis_1
Pseudomyicola spinosus
Amphi-trematode sp.
Fellostomatid
Fellostomatid_1
Stigeid
Stigeid_1
Stigeid_2
Stigeid_3
Pea crab
