"","WorkingName","Lifestyle.stage.","Resolution","BodySize.g.","Kingdom","Phylum","Subphylum","Class","Subclass","Order","Suborder","Family","Genus","SpecificEpithet"
"1","carrion-detritus","non-living","",NA,"","","","","","","","","",""
"2","marine-detritus","non-living","",NA,"","","","","","","","","",""
"3","terrestrial-detritus","non-living","",NA,"","","","","","","","","",""
"4","Saltwort","free-living","Species",NA,"Plantae","","","Angiospermae","","","","Bataceae","Batis","maritima"
"5","epipellic flora","free-living","assemblage",NA,"","","","","","","","","",""
"6","Alkali Heath","free-living","Species",NA,"Plantae","","","Angiospermae","","","","Frankeneaceae","Frankenia","salina"
"7","Fleshy Jaumea","free-living","Species",NA,"Plantae","","","Angiospermae","","","","Asteraceae","Jaumea","carnosa"
"8","macroalgae","free-living","assemblage",NA,"Plantae","","","","","","","","",""
"9","Shore Grass","free-living","Species",NA,"Plantae","","","Angiospermae","","","","Poaceae","Monanthocloe","littoralis"
"10","phytoplankton","free-living","assemblage",NA,"Plantae","","","","","","","","",""
"11","roots","free-living","assemblage",NA,"Plantae","","","","","","","","",""
"12","Annual Pickleweed","free-living","Species",NA,"Plantae","","","Angiospermae","","","","Chenopodiaceae","Salicornia","biglovii"
"13","Parish's Pickleweed","free-living","Species",NA,"Plantae","","","Angiospermae","","","","Chenopodiaceae","Salicornia","subterminalis"
"14","Pickleweed","free-living","Species",NA,"Plantae","","","Angiospermae","","","","Chenopodiaceae","Salicornia","virginica"
"15","California Cordgrass","free-living","Species",NA,"Plantae","","","Angiospermae","","","","Poaceae","Spartina","foliosa"
"16","Suaeda","free-living","Genus",NA,"Plantae","","","Angiospermae","","","","Chenopodiaceae","Suaeda","spp."
"17","Arrowgrass","free-living","Species",NA,"Plantae","","","Angiospermae","","","","Juncaginaceae","Triglochin","concinnum"
"18","Eelgrass","free-living","Species",NA,"Plantae","","","Angiospermae","","","","Zosteraceae","Zostera","marina"
"19","foraminiferan","free-living","Species",2.43e-05,"Protozoa","Foraminifera","","","","","","","",""
"20","annelid unknown (green saccate thin skin)","free-living","Species",0.00911533,"Animalia","Annelida","","Polychaeta","","","","","",""
"21","Capitella capitata","free-living","Species",0.00361251,"Animalia","Annelida","","Polychaeta","","","","Capitellidae","Capitella","capitata"
"22","capitellid?","free-living","Species",0.0019013,"Animalia","Annelida","","Polychaeta","","","","","",""
"23","Cirriformia spirabrancha","free-living","Species",0.00411416,"Animalia","Annelida","","Polychaeta","","","","Cirratulidae","Cirriformia","spirabrancha"
"24","Neanthes ""arenaceodentata""","free-living","Species",0.0041222,"Animalia","Annelida","","Polychaeta","","","","Nereidae","Neanthes","arenaceodentata"
"25","oligochaete","free-living","Class",0.00114,"Animalia","Annelida","","Oligocheate","","","","","",""
"26","brown hesionid","free-living","Species",0.00608,"Animalia","Annelida","","Polychaeta","","","","Hesionidae","",""
"27","poly unk (brwn setae ant third)","free-living","Species",0.00458016,"Animalia","Annelida","","Polychaeta","","","","","",""
"28","orbiniid, pointed prostomium","free-living","Species",0.00244201,"Animalia","Annelida","","Polychaeta","","","","Orbiniidae","",""
"29","Naineris","free-living","Species",0.0050057,"Animalia","Annelida","","Polychaeta","","","","Orbiniidae","Naineris",""
"30","poly unk B (4 prost. tents)","free-living","Species",0.00337,"Animalia","Annelida","","Polychaeta","","","","","",""
"31","poly unk B (lg green)","free-living","Species",0.0181,"Animalia","Annelida","","Polychaeta","","","","","",""
"32","poly unk(""fuzzy dorsum"")","free-living","Species",0.00445,"Animalia","Annelida","","Polychaeta","","","","","",""
"33","Polydora sp.","free-living","Species",0.00358,"Animalia","Annelida","","Polychaeta","","","","Spionidae","Polydora","sp."
"34","spionid","free-living","Species",0.00368,"Animalia","Annelida","","Polychaeta","","","","Spionidae","",""
"35","annelid unknown (green saccate thin skin)","free-living","Species",3.37e-05,"Animalia","Annelida","","Polychaeta","","","","","",""
"36","Capitella capitata","free-living","Species",3.37e-05,"Animalia","Annelida","","Polychaeta","","","","Capitellidae","Capitella","capitata"
"37","capitellid?","free-living","Species",3.37e-05,"Animalia","Annelida","","Polychaeta","","","","","",""
"38","Cirriformia spirabrancha","free-living","Species",3.37e-05,"Animalia","Annelida","","Polychaeta","","","","Cirratulidae","Cirriformia","spirabrancha"
"39","Neanthes ""arenaceodentata""","free-living","Species",3.37e-05,"Animalia","Annelida","","Polychaeta","","","","Nereidae","Neanthes","arenaceodentata"
"40","brown hesionid","free-living","Species",3.37e-05,"Animalia","Annelida","","Polychaeta","","","","Hesionidae","",""
"41","poly unk (brwn setae ant third)","free-living","Species",3.37e-05,"Animalia","Annelida","","Polychaeta","","","","","",""
"42","orbiniid, pointed prostomium","free-living","Species",3.37e-05,"Animalia","Annelida","","Polychaeta","","","","Orbiniidae","",""
"43","Naineris","free-living","Species",3.37e-05,"Animalia","Annelida","","Polychaeta","","","","Orbiniidae","Naineris",""
"44","poly unk B (4 prost. tents)","free-living","Species",3.37e-05,"Animalia","Annelida","","Polychaeta","","","","","",""
"45","poly unk B (lg green)","free-living","Species",3.37e-05,"Animalia","Annelida","","Polychaeta","","","","","",""
"46","poly unk(""fuzzy dorsum"")","free-living","Species",3.37e-05,"Animalia","Annelida","","Polychaeta","","","","","",""
"47","Polydora sp.","free-living","Species",3.37e-05,"Animalia","Annelida","","Polychaeta","","","","Spionidae","Polydora","sp."
"48","spionid","free-living","Species",3.37e-05,"Animalia","Annelida","","Polychaeta","","","","Spionidae","",""
"49","leech(glossiphonid)","free-living","Family",NA,"Animalia","Annelida","","Hirudinoidea","","","","Glossiphoniidae","",""
"50","anthozoan","free-living","Species",0.00148,"Animalia","Cnidaria","","Anthozoa","","","","","",""
"51","nemertean","free-living","Species",0.00656563,"Animalia","Nemertea","","","","","","","",""
"52","ophiuroid","free-living","Species",0.00104905,"Animalia","Echinodermata","","Ophiuroidea","","","","","",""
"53","Blue Mussel","free-living","Species",NA,"Animalia","Mollusca","","Bivalvia","","","","Mytilidae","Mytilus","galloprovincialis"
"54","Blue Mussel","free-living","Species",3.63e-05,"Animalia","Mollusca","","Bivalvia","","","","Mytilidae","Mytilus","galloprovincialis"
"55","Acteocina inculta","free-living","Species",0.00564874,"Animalia","Mollusca","","Gastropoda","","","","Scaphandridae","Acteocina","inculta"
"56","California Assiminea","free-living","Species",0.00235182,"Animalia","Mollusca","","Gastropoda","","","","Assimineidae","Assiminea","californica"
"57","Four-Threaded Bittium","free-living","Species",0.02180034,"Animalia","Mollusca","","Gastropoda","","","","Cerithiidae","Bittium","quadrifilatum"
"58","California Horn Snail","free-living","Species",0.84586523,"Animalia","Mollusca","","Gastropoda","","","","Potamididae","Cerithidea","californica"
"59","Salt Marsh Snail","free-living","Species",0.59693018,"Animalia","Mollusca","","Gastropoda","","","","Ellobiidae","Melampus","olivaceus"
"60","Black Salt Marsh Mosquito","free-living","Species",0.0025,"Animalia","Arthropoda","Hexapoda","","","Diptera","","Culicidae","Aedes","taeniorhynchus"
"61","Coleopteran","free-living","Species",0.00124115,"Animalia","Arthropoda","Hexapoda","","","Coleoptera","","","",""
"62","corophiid?","free-living","Species",0.00120054,"Animalia","Arthropoda","Crustacea","Malacostraca","","Amphipoda","","Corophiidae","",""
"63","Western Encephalitis Mosquito","free-living","Species",0.00217,"Animalia","Arthropoda","Hexapoda","","","Diptera","","Culicidae","Culex","tarsalis"
"64","cumacean","free-living","Species",0.00274,"Animalia","Arthropoda","Crustacea","Malacostraca","","Cumacea","","","",""
